"objective","state","evidence","remaining_gate"
"1 RD field data","OPEN","Phase371 review packet; privacy DB empty","Human data/privacy and field-quality decisions"
"2 rd.db fusion","VERIFIED_CATALOG","20-table canonical catalog and equal WIN/state copies","No silent rd_datos.db merge"
"3 RD mutators","FIXTURE_PASS","Phases250,396,398,401; 55 promoted cases","Named live write authority and bounded mutation"
"4 FLUJO automation","OWNER_VERIFIED_PAUSED","Phase393 owner gate; Phase396/398 fixtures","External replay/provider execution"
"5 Non-serve","LOCAL_PASS","Phase389 foreground command checks","Concrete new command consumer"
"6 RD assets","LOCAL_FIXTURE_PASS","Phases347-359 and 401","External delivery/render edge"
"7 Dependencies","BASE_GREEN_OPTIONAL_OPEN","Phase391 base imports and pip check 0","Named optional slice"
"8 Folder architecture","DESIGN_READY","Phase386 owner map; Phase375 branch proposal","Targeted physical move with rollback"
"9 Duplicate documents","OWNER_ASSIGNED_PRESERVED","Phase392 exact duplicate family","Editorial authority for physical fusion"
"10 Equivalent tools","OWNER_PARITY","Phases363-370 and 388","Consumer-specific divergent variants"
"11 Full MAK audit","LOCAL_GREEN_EXTERNAL_OPEN","Phases395-401; AST 550/550; pip check 0","Risk tests and live/external/optional boundaries"
"12 Junk/WIN","LOCAL_CLEANUP_GREEN","Reversible quarantine and scoped cleanup","Confirmed residue review; WIN preserved"
"13 Git branches","PROPOSAL_READY","Phase375","Explicit user-directed Git operation"
