path,layer,exists,size_bytes,sha256,status,owner_candidate,consumer_candidate,dependency_candidate,language_aliases,verification,decision,notes
/home/mak/flujo/cultura/mak_plataforma/GENESIS.md,source,true,4378,1444b907919e4993ee69f495d3ee6ecfdf4557c8b68167c6c955140ccfe10ec2,selected_scope,mak_plataforma,none,stdlib,"plataforma|platform|trabajo|work|guardia|watchdog|guardian|bitacora|bitácora|log|ledger|estado|state|carpeta|directory|servicio|service|cron|timer|cola|queue|investigacion|investigación|research|curatoria|curation|conductor|dispatcher|runner|entrega|delivery|respaldo|backup|salud|health|ruta|route",exists+sha256,no_change,source/runtime/WIN physical comparison
/home/mak/flujo/cultura/mak_plataforma/trabajo.py,source,true,46113,8c2bfa74308611b0cee718ecb391ef57bc0c1419c0d77bfc230aa1ab40cb063b,selected_scope,mak_plataforma,none,stdlib,"plataforma|platform|trabajo|work|guardia|watchdog|guardian|bitacora|bitácora|log|ledger|estado|state|carpeta|directory|servicio|service|cron|timer|cola|queue|investigacion|investigación|research|curatoria|curation|conductor|dispatcher|runner|entrega|delivery|respaldo|backup|salud|health|ruta|route",exists+sha256+AST,no_change,source/runtime/WIN physical comparison
/home/mak/flujo/cultura/mak_plataforma/ledger.py,source,true,34051,7e7cb2ffdad7dc35750803f831edcf823631443cd36d972cb9da3ded934d11ae,selected_scope,mak_plataforma,mak_conductor+mak_curatoria,stdlib,"plataforma|platform|trabajo|work|guardia|watchdog|guardian|bitacora|bitácora|log|ledger|estado|state|carpeta|directory|servicio|service|cron|timer|cola|queue|investigacion|investigación|research|curatoria|curation|conductor|dispatcher|runner|entrega|delivery|respaldo|backup|salud|health|ruta|route",exists+sha256+AST+import,no_change,real imports verified
/home/mak/flujo/cultura/mak_plataforma/entregar.py,source,true,16975,0e63223d20136b21b220b432f37d0cff3809a8ccf1b3b639863d273551d9270b,selected_scope,mak_plataforma,mak_conductor,stdlib,"plataforma|platform|trabajo|work|guardia|watchdog|guardian|bitacora|bitácora|log|ledger|estado|state|carpeta|directory|servicio|service|cron|timer|cola|queue|investigacion|investigación|research|curatoria|curation|conductor|dispatcher|runner|entrega|delivery|respaldo|backup|salud|health|ruta|route",exists+sha256+AST,no_change,consumer route identified
/home/mak/flujo/cultura/mak_plataforma/hub.py,source,true,210361,9a8b861d6065606fcef3c9c4ba13350cfe94f6e8c806ad07df7cfccdb96b0255,selected_scope,mak_plataforma,candidate_service,stdlib,"plataforma|platform|trabajo|work|guardia|watchdog|guardian|bitacora|bitácora|log|ledger|estado|state|carpeta|directory|servicio|service|cron|timer|cola|queue|investigacion|investigación|research|curatoria|curation|conductor|dispatcher|runner|entrega|delivery|respaldo|backup|salud|health|ruta|route",exists+sha256+AST,no_change,declaration only
/home/mak/plataforma/trabajo.py,runtime,true,46113,8c2bfa74308611b0cee718ecb391ef57bc0c1419c0d77bfc230aa1ab40cb063b,selected_scope,mak_plataforma,none,stdlib,"plataforma|platform|trabajo|work|guardia|watchdog|guardian|bitacora|bitácora|log|ledger|estado|state|carpeta|directory|servicio|service|cron|timer|cola|queue|investigacion|investigación|research|curatoria|curation|conductor|dispatcher|runner|entrega|delivery|respaldo|backup|salud|health|ruta|route",exists+sha256+AST,no_change,runtime equals source
/home/mak/plataforma/ledger.py,runtime,true,34051,7e7cb2ffdad7dc35750803f831edcf823631443cd36d972cb9da3ded934d11ae,selected_scope,mak_plataforma,mak_conductor+mak_curatoria,stdlib,"plataforma|platform|trabajo|work|guardia|watchdog|guardian|bitacora|bitácora|log|ledger|estado|state|carpeta|directory|servicio|service|cron|timer|cola|queue|investigacion|investigación|research|curatoria|curation|conductor|dispatcher|runner|entrega|delivery|respaldo|backup|salud|health|ruta|route",exists+sha256+AST+import,no_change,real imports verified
/home/mak/plataforma/entregar.py,runtime,true,16975,0e63223d20136b21b220b432f37d0cff3809a8ccf1b3b639863d273551d9270b,selected_scope,mak_plataforma,mak_conductor,stdlib,"plataforma|platform|trabajo|work|guardia|watchdog|guardian|bitacora|bitácora|log|ledger|estado|state|carpeta|directory|servicio|service|cron|timer|cola|queue|investigacion|investigación|research|curatoria|curation|conductor|dispatcher|runner|entrega|delivery|respaldo|backup|salud|health|ruta|route",exists+sha256+AST,no_change,runtime consumer target
/home/mak/plataforma/hub.py,runtime,true,210361,9a8b861d6065606fcef3c9c4ba13350cfe94f6e8c806ad07df7cfccdb96b0255,selected_scope,mak_plataforma,candidate_service,stdlib,"plataforma|platform|trabajo|work|guardia|watchdog|guardian|bitacora|bitácora|log|ledger|estado|state|carpeta|directory|servicio|service|cron|timer|cola|queue|investigacion|investigación|research|curatoria|curation|conductor|dispatcher|runner|entrega|delivery|respaldo|backup|salud|health|ruta|route",exists+sha256+AST,no_change,service target only
/home/mak/plataforma/mak-hub.service,runtime,true,332,e491c5b938f0007bcf4cbffc4ec7f839fd0f7ba5c868ed7b8c77df049201135c,selected_scope,mak_plataforma,candidate_service,systemd,"plataforma|platform|servicio|service|ruta|route|estado|state",exists+sha256,no_change,text declaration not execution
