path,state,baseline_hash,repo_hash,live_hash,verification,notes
mak_plataforma/trabajo.py,MISMATCH,8c2bfa743086,MISSING,MISSING,blocked_ssh,SSH exit 255; Host key verification failed; remote sha256 unavailable
mak_plataforma/guardia.py,MISMATCH,d5e8047d7d9a,MISSING,MISSING,blocked_ssh,SSH exit 255; Host key verification failed; remote sha256 unavailable
mak_plataforma/hub.py,MISMATCH,9a8b861d6065,MISSING,MISSING,blocked_ssh,SSH exit 255; Host key verification failed; remote sha256 unavailable
mak_plataforma/backlog.py,MISMATCH,c7fd48975393,MISSING,MISSING,blocked_ssh,SSH exit 255; Host key verification failed; remote sha256 unavailable
mak_plataforma/roles.py,MISMATCH,ef0b1674c6ce,MISSING,MISSING,blocked_ssh,SSH exit 255; Host key verification failed; remote sha256 unavailable
mak_plataforma/backlog_codex.py,MISMATCH,73763c3a9227,MISSING,MISSING,blocked_ssh,SSH exit 255; Host key verification failed; remote sha256 unavailable
mak_plataforma/capataz.py,MISMATCH,af41076e5305,MISSING,MISSING,blocked_ssh,SSH exit 255; Host key verification failed; remote sha256 unavailable
mak_plataforma/coherence.py,MISMATCH,a6aa035b3e3f,MISSING,MISSING,blocked_ssh,SSH exit 255; Host key verification failed; remote sha256 unavailable
mak_plataforma/descargar.py,MISMATCH,5ea1651ead86,MISSING,MISSING,blocked_ssh,SSH exit 255; Host key verification failed; remote sha256 unavailable
mak_plataforma/entregar.py,MISMATCH,0e63223d2013,MISSING,MISSING,blocked_ssh,SSH exit 255; Host key verification failed; remote sha256 unavailable
mak_plataforma/ideas.py,MISMATCH,84c8eebdb0c8,MISSING,MISSING,blocked_ssh,SSH exit 255; Host key verification failed; remote sha256 unavailable
mak_plataforma/junta.py,MISMATCH,b472f79ba666,MISSING,MISSING,blocked_ssh,SSH exit 255; Host key verification failed; remote sha256 unavailable
mak_plataforma/latido.py,MISMATCH,c8dfb331b1ed,MISSING,MISSING,blocked_ssh,SSH exit 255; Host key verification failed; remote sha256 unavailable
mak_plataforma/material.py,MISMATCH,2e9770565837,MISSING,MISSING,blocked_ssh,SSH exit 255; Host key verification failed; remote sha256 unavailable
mak_plataforma/mutaciones.py,MISMATCH,b5b1402a018c,MISSING,MISSING,blocked_ssh,SSH exit 255; Host key verification failed; remote sha256 unavailable
mak_plataforma/providers.py,MISMATCH,e344564b3ae0,MISSING,MISSING,blocked_ssh,SSH exit 255; Host key verification failed; remote sha256 unavailable
mak_plataforma/puente_issues.py,MISMATCH,e1bc8880c919,MISSING,MISSING,blocked_ssh,SSH exit 255; Host key verification failed; remote sha256 unavailable
mak_plataforma/red_watch.py,MISMATCH,5d6d8c244832,MISSING,MISSING,blocked_ssh,SSH exit 255; Host key verification failed; remote sha256 unavailable
mak_plataforma/revision.py,MISMATCH,48cecebf2d9d,MISSING,MISSING,blocked_ssh,SSH exit 255; Host key verification failed; remote sha256 unavailable
mak_plataforma/revision_episodios.py,MISMATCH,58ea66a5e0fb,MISSING,MISSING,blocked_ssh,SSH exit 255; Host key verification failed; remote sha256 unavailable
