artifact_id,mode,topic,route,metric_name,metric_value,expected_median,robust_scale,residual,is_scored,group_count,method_source,computed_at
32433,informes,Cuales son los objetivos de la revision del informe MAK,research/informes,consultas,2.0,2.0,0.03458926971674847,0.0,1,39,esfuerzo.py:attachment-contract,2026-08-18T16:54:50+00:00
32433,informes,Cuales son los objetivos de la revision del informe MAK,research/informes,deriva_consultas,1.0,1.0,0.0,,0,37,esfuerzo.py:attachment-contract,2026-08-18T16:54:50+00:00
32433,informes,Cuales son los objetivos de la revision del informe MAK,research/informes,duracion_ms,57854.0,84341.0,22725.0,-0.786,1,39,esfuerzo.py:attachment-contract,2026-08-18T16:54:50+00:00
32433,informes,Cuales son los objetivos de la revision del informe MAK,research/informes,errores,0.0,0.0,0.06917853943349694,0.0,1,39,esfuerzo.py:attachment-contract,2026-08-18T16:54:50+00:00
32433,informes,Cuales son los objetivos de la revision del informe MAK,research/informes,fuentes,6.0,6.0,0.12106244400861965,-0.0,1,39,esfuerzo.py:attachment-contract,2026-08-18T16:54:50+00:00
32433,informes,Cuales son los objetivos de la revision del informe MAK,research/informes,iteraciones,2.0,2.0,0.03458926971674847,0.0,1,39,esfuerzo.py:attachment-contract,2026-08-18T16:54:50+00:00
32433,informes,Cuales son los objetivos de la revision del informe MAK,research/informes,llamadas_llm,9.0,9.0,0.5534283154679756,0.0,1,39,esfuerzo.py:attachment-contract,2026-08-18T16:54:50+00:00
32433,informes,Cuales son los objetivos de la revision del informe MAK,research/informes,profundidad_cadena,1.0,1.0,0.017294634858374236,0.0,1,39,esfuerzo.py:attachment-contract,2026-08-18T16:54:50+00:00
32445,informes,revisar informe MAK antes de producir mas: 20260715-215251-el-sample-y-la-cita-como-gesto-estetico-.md,research/informes,consultas,2.0,2.0,0.03458926971674847,0.0,1,39,esfuerzo.py:attachment-contract,2026-08-18T16:54:50+00:00
32445,informes,revisar informe MAK antes de producir mas: 20260715-215251-el-sample-y-la-cita-como-gesto-estetico-.md,research/informes,deriva_consultas,1.0,1.0,0.0,,0,37,esfuerzo.py:attachment-contract,2026-08-18T16:54:50+00:00
32445,informes,revisar informe MAK antes de producir mas: 20260715-215251-el-sample-y-la-cita-como-gesto-estetico-.md,research/informes,duracion_ms,59013.0,84341.0,22725.0,-0.752,1,39,esfuerzo.py:attachment-contract,2026-08-18T16:54:50+00:00
32445,informes,revisar informe MAK antes de producir mas: 20260715-215251-el-sample-y-la-cita-como-gesto-estetico-.md,research/informes,errores,0.0,0.0,0.06917853943349694,0.0,1,39,esfuerzo.py:attachment-contract,2026-08-18T16:54:50+00:00
32445,informes,revisar informe MAK antes de producir mas: 20260715-215251-el-sample-y-la-cita-como-gesto-estetico-.md,research/informes,fuentes,6.0,6.0,0.12106244400861965,-0.0,1,39,esfuerzo.py:attachment-contract,2026-08-18T16:54:50+00:00
32445,informes,revisar informe MAK antes de producir mas: 20260715-215251-el-sample-y-la-cita-como-gesto-estetico-.md,research/informes,iteraciones,2.0,2.0,0.03458926971674847,0.0,1,39,esfuerzo.py:attachment-contract,2026-08-18T16:54:50+00:00
32445,informes,revisar informe MAK antes de producir mas: 20260715-215251-el-sample-y-la-cita-como-gesto-estetico-.md,research/informes,llamadas_llm,9.0,9.0,0.5534283154679756,0.0,1,39,esfuerzo.py:attachment-contract,2026-08-18T16:54:50+00:00
32445,informes,revisar informe MAK antes de producir mas: 20260715-215251-el-sample-y-la-cita-como-gesto-estetico-.md,research/informes,profundidad_cadena,1.0,1.0,0.017294634858374236,0.0,1,39,esfuerzo.py:attachment-contract,2026-08-18T16:54:50+00:00
32446,informes,revisar informe MAK antes de producir mas: 20260716-061438-wachuma-uso-ceremonial-historia-y-estado.md,research/informes,consultas,2.0,2.0,0.03458926971674847,0.0,1,39,esfuerzo.py:attachment-contract,2026-08-18T16:54:50+00:00
32446,informes,revisar informe MAK antes de producir mas: 20260716-061438-wachuma-uso-ceremonial-historia-y-estado.md,research/informes,deriva_consultas,1.0,1.0,0.0,,0,37,esfuerzo.py:attachment-contract,2026-08-18T16:54:50+00:00
32446,informes,revisar informe MAK antes de producir mas: 20260716-061438-wachuma-uso-ceremonial-historia-y-estado.md,research/informes,duracion_ms,92550.0,84341.0,22725.0,0.244,1,39,esfuerzo.py:attachment-contract,2026-08-18T16:54:50+00:00
32446,informes,revisar informe MAK antes de producir mas: 20260716-061438-wachuma-uso-ceremonial-historia-y-estado.md,research/informes,errores,0.0,0.0,0.06917853943349694,0.0,1,39,esfuerzo.py:attachment-contract,2026-08-18T16:54:50+00:00
32446,informes,revisar informe MAK antes de producir mas: 20260716-061438-wachuma-uso-ceremonial-historia-y-estado.md,research/informes,fuentes,6.0,6.0,0.12106244400861965,-0.0,1,39,esfuerzo.py:attachment-contract,2026-08-18T16:54:50+00:00
32446,informes,revisar informe MAK antes de producir mas: 20260716-061438-wachuma-uso-ceremonial-historia-y-estado.md,research/informes,iteraciones,2.0,2.0,0.03458926971674847,0.0,1,39,esfuerzo.py:attachment-contract,2026-08-18T16:54:50+00:00
32446,informes,revisar informe MAK antes de producir mas: 20260716-061438-wachuma-uso-ceremonial-historia-y-estado.md,research/informes,llamadas_llm,9.0,9.0,0.5534283154679756,0.0,1,39,esfuerzo.py:attachment-contract,2026-08-18T16:54:50+00:00
32446,informes,revisar informe MAK antes de producir mas: 20260716-061438-wachuma-uso-ceremonial-historia-y-estado.md,research/informes,profundidad_cadena,1.0,1.0,0.017294634858374236,0.0,1,39,esfuerzo.py:attachment-contract,2026-08-18T16:54:50+00:00
32447,informes,¿Cómo se puede integrar la realidad aumentada con otros sistemas de información geográfica para mejorar la toma de decisiones?,research/informes,consultas,2.0,2.0,0.03458926971674847,0.0,1,39,esfuerzo.py:attachment-contract,2026-08-18T16:54:50+00:00
32447,informes,¿Cómo se puede integrar la realidad aumentada con otros sistemas de información geográfica para mejorar la toma de decisiones?,research/informes,deriva_consultas,1.0,1.0,0.0,,0,37,esfuerzo.py:attachment-contract,2026-08-18T16:54:50+00:00
32447,informes,¿Cómo se puede integrar la realidad aumentada con otros sistemas de información geográfica para mejorar la toma de decisiones?,research/informes,duracion_ms,123064.0,84341.0,22725.0,1.149,1,39,esfuerzo.py:attachment-contract,2026-08-18T16:54:50+00:00
32447,informes,¿Cómo se puede integrar la realidad aumentada con otros sistemas de información geográfica para mejorar la toma de decisiones?,research/informes,errores,0.0,0.0,0.06917853943349694,0.0,1,39,esfuerzo.py:attachment-contract,2026-08-18T16:54:50+00:00
32447,informes,¿Cómo se puede integrar la realidad aumentada con otros sistemas de información geográfica para mejorar la toma de decisiones?,research/informes,fuentes,6.0,6.0,0.12106244400861965,-0.0,1,39,esfuerzo.py:attachment-contract,2026-08-18T16:54:50+00:00
32447,informes,¿Cómo se puede integrar la realidad aumentada con otros sistemas de información geográfica para mejorar la toma de decisiones?,research/informes,iteraciones,2.0,2.0,0.03458926971674847,0.0,1,39,esfuerzo.py:attachment-contract,2026-08-18T16:54:50+00:00
32447,informes,¿Cómo se puede integrar la realidad aumentada con otros sistemas de información geográfica para mejorar la toma de decisiones?,research/informes,llamadas_llm,11.0,9.0,0.5534283154679756,2.438,1,39,esfuerzo.py:attachment-contract,2026-08-18T16:54:50+00:00
32447,informes,¿Cómo se puede integrar la realidad aumentada con otros sistemas de información geográfica para mejorar la toma de decisiones?,research/informes,profundidad_cadena,1.0,1.0,0.017294634858374236,0.0,1,39,esfuerzo.py:attachment-contract,2026-08-18T16:54:50+00:00
32454,informes,¿Qué papel juega la tecnología en la creación y aplicación de la memoria visual en la planificación urbana?,research/informes,consultas,2.0,2.0,0.03458926971674847,0.0,1,39,esfuerzo.py:attachment-contract,2026-08-18T16:54:50+00:00
32454,informes,¿Qué papel juega la tecnología en la creación y aplicación de la memoria visual en la planificación urbana?,research/informes,deriva_consultas,1.0,1.0,0.0,,0,37,esfuerzo.py:attachment-contract,2026-08-18T16:54:50+00:00
32454,informes,¿Qué papel juega la tecnología en la creación y aplicación de la memoria visual en la planificación urbana?,research/informes,duracion_ms,119779.0,84341.0,22725.0,1.052,1,39,esfuerzo.py:attachment-contract,2026-08-18T16:54:50+00:00
32454,informes,¿Qué papel juega la tecnología en la creación y aplicación de la memoria visual en la planificación urbana?,research/informes,errores,0.0,0.0,0.06917853943349694,0.0,1,39,esfuerzo.py:attachment-contract,2026-08-18T16:54:50+00:00
32454,informes,¿Qué papel juega la tecnología en la creación y aplicación de la memoria visual en la planificación urbana?,research/informes,fuentes,6.0,6.0,0.12106244400861965,-0.0,1,39,esfuerzo.py:attachment-contract,2026-08-18T16:54:50+00:00
32454,informes,¿Qué papel juega la tecnología en la creación y aplicación de la memoria visual en la planificación urbana?,research/informes,iteraciones,2.0,2.0,0.03458926971674847,0.0,1,39,esfuerzo.py:attachment-contract,2026-08-18T16:54:50+00:00
32454,informes,¿Qué papel juega la tecnología en la creación y aplicación de la memoria visual en la planificación urbana?,research/informes,llamadas_llm,10.0,9.0,0.5534283154679756,1.219,1,39,esfuerzo.py:attachment-contract,2026-08-18T16:54:50+00:00
32454,informes,¿Qué papel juega la tecnología en la creación y aplicación de la memoria visual en la planificación urbana?,research/informes,profundidad_cadena,1.0,1.0,0.017294634858374236,0.0,1,39,esfuerzo.py:attachment-contract,2026-08-18T16:54:50+00:00
32455,informes,test1,research/informes,consultas,1.0,2.0,0.03458926971674847,-19.5,1,39,esfuerzo.py:attachment-contract,2026-08-18T16:54:50+00:00
32455,informes,test1,research/informes,duracion_ms,24225.0,84341.0,22725.0,-1.784,1,39,esfuerzo.py:attachment-contract,2026-08-18T16:54:50+00:00
32455,informes,test1,research/informes,errores,0.0,0.0,0.06917853943349694,0.0,1,39,esfuerzo.py:attachment-contract,2026-08-18T16:54:50+00:00
32455,informes,test1,research/informes,fuentes,3.0,6.0,0.12106244400861965,16.714,1,39,esfuerzo.py:attachment-contract,2026-08-18T16:54:50+00:00
32455,informes,test1,research/informes,iteraciones,1.0,2.0,0.03458926971674847,-19.5,1,39,esfuerzo.py:attachment-contract,2026-08-18T16:54:50+00:00
32455,informes,test1,research/informes,llamadas_llm,5.0,9.0,0.5534283154679756,-4.875,1,39,esfuerzo.py:attachment-contract,2026-08-18T16:54:50+00:00
32455,informes,test1,research/informes,profundidad_cadena,1.0,1.0,0.017294634858374236,0.0,1,39,esfuerzo.py:attachment-contract,2026-08-18T16:54:50+00:00
32458,informes,¿Cómo se adapta el análisis de complejidad de Git a diferentes tamaños de equipo y tipos de proyecto?,research/informes,consultas,2.0,2.0,0.03458926971674847,0.0,1,39,esfuerzo.py:attachment-contract,2026-08-18T16:54:50+00:00
32458,informes,¿Cómo se adapta el análisis de complejidad de Git a diferentes tamaños de equipo y tipos de proyecto?,research/informes,deriva_consultas,1.0,1.0,0.0,,0,37,esfuerzo.py:attachment-contract,2026-08-18T16:54:50+00:00
32458,informes,¿Cómo se adapta el análisis de complejidad de Git a diferentes tamaños de equipo y tipos de proyecto?,research/informes,duracion_ms,96399.0,84341.0,22725.0,0.358,1,39,esfuerzo.py:attachment-contract,2026-08-18T16:54:50+00:00
32458,informes,¿Cómo se adapta el análisis de complejidad de Git a diferentes tamaños de equipo y tipos de proyecto?,research/informes,errores,0.0,0.0,0.06917853943349694,0.0,1,39,esfuerzo.py:attachment-contract,2026-08-18T16:54:50+00:00
