path,type,size_bytes,mtime,mode,root,category,provenance,status,owner_candidate,consumer_candidate,notes
"/home/mak/ ;","d","4096","2026-08-11T12:57:35.4077587470","755","MAK","other","manual","observed","unknown","unknown","root-level metadata"
"/home/mak/.ICEauthority","f","0","2026-07-14T20:32:00.7226281620","600","MAK","other","manual","observed","excluded_sensitive","unknown","metadata only; content excluded"
"/home/mak/.Xauthority","f","53","2026-07-15T08:16:20.1017166680","600","MAK","other","manual","observed","excluded_sensitive","unknown","metadata only; content excluded"
"/home/mak/.aws","d","4096","2026-08-07T14:35:20.2102075780","700","MAK","other","manual","observed","excluded_sensitive","unknown","metadata only; content excluded"
"/home/mak/.bash_history","f","119530","2026-08-13T15:47:32.4693298970","600","MAK","other","manual","observed","excluded_sensitive","unknown","metadata only; content excluded"
"/home/mak/.bash_logout","f","220","2026-07-14T18:49:11.7414523660","644","MAK","other","manual","observed","unknown","unknown","root-level metadata"
"/home/mak/.bashrc","f","3637","2026-07-23T18:42:44.3009377520","644","MAK","other","manual","observed","unknown","unknown","root-level metadata"
"/home/mak/.cache","d","4096","2026-08-13T05:36:40.5790478610","755","MAK","other","manual","observed","unknown","unknown","root-level metadata"
"/home/mak/.codex","d","4096","2026-08-14T18:23:30.7843709810","755","MAK","other","manual","observed","unknown","unknown","root-level metadata"
"/home/mak/.config","d","4096","2026-08-13T20:49:10.7381502390","700","MAK","other","manual","observed","unknown","unknown","root-level metadata"
"/home/mak/.continue","d","4096","2026-08-09T03:26:20.5903817490","755","MAK","other","manual","observed","unknown","unknown","root-level metadata"
"/home/mak/.copilot","d","4096","2026-08-04T02:15:25.7955687860","700","MAK","other","manual","observed","unknown","unknown","root-level metadata"
"/home/mak/.dmrc","f","23","2026-07-15T08:16:19.8832108160","644","MAK","other","manual","observed","unknown","unknown","root-level metadata"
"/home/mak/.dotnet","d","4096","2026-08-09T03:24:55.7287492760","755","MAK","other","manual","observed","unknown","unknown","root-level metadata"
"/home/mak/.gemini","d","4096","2026-07-15T21:26:14.4462034950","755","MAK","other","manual","observed","unknown","unknown","root-level metadata"
"/home/mak/.gitconfig","f","228","2026-07-18T03:45:09.8742400710","644","MAK","other","manual","observed","unknown","unknown","root-level metadata"
"/home/mak/.gnupg","d","4096","2026-07-14T20:32:00.7306281620","700","MAK","other","manual","observed","excluded_sensitive","unknown","metadata only; content excluded"
"/home/mak/.icons","d","4096","2026-07-15T08:19:39.6229837620","755","MAK","other","manual","observed","unknown","unknown","root-level metadata"
"/home/mak/.idlerc","d","4096","2026-07-16T04:50:44.0649696600","755","MAK","other","manual","observed","unknown","unknown","root-level metadata"
"/home/mak/.ipython","d","4096","2026-07-15T03:05:10.0897840460","755","MAK","other","manual","observed","unknown","unknown","root-level metadata"
"/home/mak/.lesshst","f","20","2026-08-03T17:41:34.8552277680","600","MAK","other","manual","observed","excluded_sensitive","unknown","metadata only; content excluded"
"/home/mak/.lmstudio","d","4096","2026-07-20T23:48:00.7595759250","755","MAK","other","manual","observed","unknown","unknown","root-level metadata"
"/home/mak/.lmstudio-home-pointer","f","19","2026-07-16T04:26:59.9398818900","644","MAK","other","manual","observed","unknown","unknown","root-level metadata"
"/home/mak/.local","d","4096","2026-07-16T03:44:52.9799937880","700","MAK","other","manual","observed","unknown","unknown","root-level metadata"
"/home/mak/.mozilla","d","4096","2026-07-14T20:47:57.4486039850","755","MAK","other","manual","observed","unknown","unknown","root-level metadata"
"/home/mak/.npm","d","4096","2026-08-13T23:43:02.4678938930","755","MAK","other","manual","observed","unknown","unknown","root-level metadata"
"/home/mak/.nv","d","4096","2026-07-14T20:32:03.0626281530","700","MAK","other","manual","observed","unknown","unknown","root-level metadata"
"/home/mak/.ollama","d","4096","2026-07-15T07:17:11.3128821780","755","MAK","other","manual","observed","unknown","unknown","root-level metadata"
"/home/mak/.pki","d","4096","2026-07-20T23:45:39.1476435210","700","MAK","other","manual","observed","excluded_sensitive","unknown","metadata only; content excluded"
"/home/mak/.profile","f","888","2026-07-16T04:27:11.6081013490","644","MAK","other","manual","observed","unknown","unknown","root-level metadata"
"/home/mak/.pytest_cache","d","4096","2026-08-13T11:55:48.8372858720","755","MAK","other","manual","observed","unknown","unknown","root-level metadata"
"/home/mak/.ssh","d","4096","2026-07-15T05:48:47.1937163950","700","MAK","other","manual","observed","excluded_sensitive","unknown","metadata only; content excluded"
"/home/mak/.sudo_as_admin_successful","f","0","2026-07-14T22:28:16.3457170010","644","MAK","other","manual","observed","unknown","unknown","root-level metadata"
"/home/mak/.themes","d","4096","2026-07-15T08:19:42.4871001950","755","MAK","other","manual","observed","unknown","unknown","root-level metadata"
"/home/mak/.venvs","d","4096","2026-07-16T04:09:45.6782105250","755","MAK","other","manual","observed","unknown","unknown","root-level metadata"
"/home/mak/.vscode","d","4096","2026-08-04T02:26:58.7039220030","755","MAK","other","manual","observed","unknown","unknown","root-level metadata"
"/home/mak/.vscode-shared","d","4096","2026-07-15T22:16:07.3518386210","755","MAK","other","manual","observed","unknown","unknown","root-level metadata"
"/home/mak/.wget-hsts","f","180","2026-07-15T00:10:43.1438735610","644","MAK","other","manual","observed","excluded_sensitive","unknown","metadata only; content excluded"
"/home/mak/.wine","d","4096","2026-07-18T03:12:49.3750296710","755","MAK","other","manual","observed","unknown","unknown","root-level metadata"
"/home/mak/.xsession-errors","f","2719","2026-07-15T08:20:07.5848932500","600","MAK","other","manual","observed","unknown","unknown","root-level metadata"
"/home/mak/.xsession-errors.old","f","609","2026-07-15T07:41:45.9170802250","600","MAK","other","manual","observed","unknown","unknown","root-level metadata"
"/home/mak/Apps","d","4096","2026-07-16T04:23:03.6791876880","755","MAK","other","manual","observed","unknown","unknown","root-level metadata"
"/home/mak/Descargas","d","4096","2026-08-13T04:33:12.1241427300","755","MAK","output_or_data","manual","active","unknown","unknown","root-level metadata"
"/home/mak/Documentos","d","4096","2026-07-14T20:32:00.6346281630","755","MAK","configuration_or_user_surface","manual","active","unknown","unknown","root-level metadata"
"/home/mak/Documents","d","4096","2026-08-13T08:46:21.3054043420","755","MAK","configuration_or_user_surface","manual","active","unknown","unknown","root-level metadata"
"/home/mak/Escritorio","d","4096","2026-08-12T23:52:57.7005995210","755","MAK","output_or_data","manual","active","unknown","unknown","root-level metadata"
"/home/mak/GENESIS.md","f","3956","2026-07-16T19:58:23.0000000000","644","MAK","other","manual","observed","unknown","unknown","root-level metadata"
"/home/mak/GoogleDrive","d","4096","2026-07-18T03:26:06.2381251140","755","MAK","configuration_or_user_surface","manual","active","unknown","unknown","root-level metadata"
"/home/mak/Imágenes","d","4096","2026-07-14T20:32:00.6346281630","755","MAK","configuration_or_user_surface","manual","active","unknown","unknown","root-level metadata"
"/home/mak/Modelfile","f","136","2026-07-14T23:33:35.1568007600","644","MAK","tool_or_runtime","manual","active","unknown","unknown","root-level metadata"
"/home/mak/Música","d","4096","2026-07-14T20:32:00.6346281630","755","MAK","configuration_or_user_surface","manual","active","unknown","unknown","root-level metadata"
"/home/mak/PENDIENTES_SUDO.md","f","594","2026-07-16T20:12:38.0873106010","644","MAK","other","manual","observed","unknown","unknown","root-level metadata"
"/home/mak/Plantillas","d","4096","2026-07-14T20:32:00.6346281630","755","MAK","configuration_or_user_surface","manual","active","unknown","unknown","root-level metadata"
"/home/mak/Público","d","4096","2026-07-14T20:32:00.6346281630","755","MAK","configuration_or_user_surface","manual","active","unknown","unknown","root-level metadata"
"/home/mak/RD","d","4096","2026-08-03T20:58:15.4390798500","755","MAK","output_or_data","manual","active","unknown","unknown","root-level metadata"
"/home/mak/Vídeos","d","4096","2026-07-14T20:32:00.6346281630","755","MAK","configuration_or_user_surface","manual","active","unknown","unknown","root-level metadata"
"/home/mak/WIN","d","4096","2026-08-13T14:29:42.2462303700","700","WIN","historical_evidence","manual","historical","unknown","unknown","root-level metadata"
"/home/mak/WhiteSur-icon-theme","d","4096","2026-07-15T08:42:51.2120912530","755","MAK","other","manual","observed","unknown","unknown","root-level metadata"
"/home/mak/\;","f","55","2026-08-12T02:53:29.1839486880","644","MAK","configuration_or_user_surface","manual","active","unknown","unknown","root-level metadata"
"/home/mak/\home\mak\flujo\cultura\mak_codex","d","4096","2026-08-12T07:29:48.7831199650","755","MAK","configuration_or_user_surface","manual","active","unknown","unknown","root-level metadata"
"/home/mak/\home\mak\flujo\cultura\mak_conductor","d","4096","2026-08-12T07:29:36.8949840000","755","MAK","configuration_or_user_surface","manual","active","unknown","unknown","root-level metadata"
"/home/mak/\home\mak\flujo\cultura\mak_curatoria","d","4096","2026-08-12T07:29:49.5871291840","755","MAK","configuration_or_user_surface","manual","active","unknown","unknown","root-level metadata"
"/home/mak/\home\mak\flujo\cultura\mak_plataforma","d","4096","2026-08-12T07:29:41.2550337940","755","MAK","configuration_or_user_surface","manual","active","unknown","unknown","root-level metadata"
"/home/mak/\home\mak\flujo\cultura\mak_research","d","4096","2026-08-12T07:29:46.7310964550","755","MAK","configuration_or_user_surface","manual","active","unknown","unknown","root-level metadata"
"/home/mak/\home\mak\flujo\tools\mak_ops","d","4096","2026-08-12T07:29:49.9791336780","755","MAK","configuration_or_user_surface","manual","active","unknown","unknown","root-level metadata"
"/home/mak/__pycache__","d","4096","2026-07-15T03:23:20.4023871460","755","MAK","other","manual","observed","unknown","unknown","root-level metadata"
"/home/mak/_archive","d","4096","2026-08-09T22:20:52.0836063390","755","MAK","configuration_or_user_surface","manual","active","unknown","unknown","root-level metadata"
"/home/mak/actions-runner","d","4096","2026-07-24T08:25:54.4085312660","755","MAK","tool_or_runtime","manual","active","unknown","unknown","root-level metadata"
"/home/mak/antigravity.launch.log","f","1493","2026-07-15T22:23:45.6860274010","644","MAK","other","manual","observed","unknown","unknown","root-level metadata"
"/home/mak/apps","d","4096","2026-07-15T22:11:22.8797199570","755","MAK","tool_or_runtime","manual","active","unknown","unknown","root-level metadata"
"/home/mak/backups","d","4096","2026-08-14T04:30:01.4557228380","755","MAK","output_or_data","manual","active","unknown","unknown","root-level metadata"
"/home/mak/bin","d","4096","2026-08-13T05:35:59.2185461090","755","MAK","tool_or_runtime","manual","active","unknown","unknown","root-level metadata"
