path,source_manifest,source_status,source_hash,target_exists,target_hash,target_status,consumer,notes
arte-ascii-readme.svg,flujo-final-reconciliation-20260813.json,content_changed,d06f5b0606825275f162e9fb8cb3044ea9bdde82190e0bfb79b0a9d3a923dafc,true,2bda5d95340a56cad6ac8c2450aa33a127966a1db358497a5b4374863546f9db,hash_mismatch,flujo = flujo.cli:app,WIN content_changed; target differs from source hash
context/LAST_HANDOFF.md,flujo-final-reconciliation-20260813.json,content_changed,54dd9c2940a4efe98dd5d4afa1a40123a3bd3becfcedc5301ee0bdb68afc1070,true,728a4babf2e72516c6673552530e82b7aab21e2d1fc24e6b0d053100e0a01ba0,hash_mismatch,flujo = flujo.cli:app,WIN content_changed; target differs from source hash; historical hash conflict: postarchive/update differs from final
docs/recovered/claude_sessions_2026-08-12/README.md,flujo-final-reconciliation-20260813.json,content_changed,553b8fbe59abb2fd27e5dc54da659fe8ec2ae784a924df9422ac71774122f97d,true,2187c891c65424094bed56721067a4ab74ac42d3ec9571f21ae4bbfe0559020f,hash_mismatch,flujo = flujo.cli:app,WIN content_changed; target differs from source hash
docs/recovered/claude_sessions_2026-08-12/raw/83087cdd-3709-48de-ab41-62325e73d863_nombre-cauce.md,flujo-final-reconciliation-20260813.json,content_changed,c9a54cacf88ef073b9a4997c9b9c9401ae3d9bc52f93b59ebcb57709c2c6a964,true,c7d5e02df2b717c951fbd0eb681a2878e78f17c6d2938b3a33997429c1edae75,hash_mismatch,flujo = flujo.cli:app,WIN content_changed; target differs from source hash
docs/recovered/claude_sessions_2026-08-12/raw/AX.html,flujo-final-reconciliation-20260813.json,metadata_only,15b0e87d42f53eb8ab1ba2db0b4d57ad0e926b81abe81a7954c9501e5ebe4b02,true,15b0e87d42f53eb8ab1ba2db0b4d57ad0e926b81abe81a7954c9501e5ebe4b02,hash_match_source,flujo = flujo.cli:app,WIN metadata_only; target retained independently; absent from 14-file working-tree update subset
docs/recovered/claude_sessions_2026-08-12/raw/MANIFEST.json,flujo-final-reconciliation-20260813.json,content_changed,687f55e4541d8cdf4f31db9e55dddab1d35afa44557f6753a6a60a2d7baddbf0,true,c6f3133c9013fbaddc6603b88ef0c0d6bed545164a9ce0a527fa4578a00f1036,hash_mismatch,flujo = flujo.cli:app,WIN content_changed; target differs from source hash
docs/recovered/claude_sessions_2026-08-12/raw/bases-texto-fondos-fondart-2027.json,flujo-final-reconciliation-20260813.json,content_changed,8f2e3dbfd3ef1eb634cc18132176920fa9ed53c273580e4598fe04ed1d12a7fd,true,69cd7d63e995ca7b6b855a3c072643e584e6e743fd226b4b57d5f15968723675,hash_mismatch,flujo = flujo.cli:app,WIN content_changed; target differs from source hash
docs/recovered/claude_sessions_2026-08-12/raw/claude_sesiones_index.html,flujo-final-reconciliation-20260813.json,content_changed,1b4c92ec6b8c979947169fdc2ae05584ee5cdd07169a68fe568c5ca5694d39b2,true,aa52d184522ce1d8f27b9bb71976d73eaacb461cbf3d4e7552d914cffab4a88c,hash_mismatch,flujo = flujo.cli:app,WIN content_changed; target differs from source hash
docs/recovered/claude_sessions_2026-08-12/raw/claude_web_export_inventory.md,flujo-final-reconciliation-20260813.json,content_changed,02a235411e0bd6ff78bdd23997d35678a8ca84b117b8f4c49bbbc8ff7770aab4,true,c83d0cce0fa9ad88e3aa06ff9fd15049d4e84c546b81d3f90decdab5693276d5,hash_mismatch,flujo = flujo.cli:app,WIN content_changed; target differs from source hash
docs/recovered/claude_sessions_2026-08-12/raw/fondos-fondart-terminos-condiciones-requisitos-2027.md,flujo-final-reconciliation-20260813.json,metadata_only,c2feb848e80ceb27f77c0fbc9caeea8d7a7a252fde006ec431d171fa2197914f,true,caf86d3783b3080e631628a352391b3a0c5f31c2717ff25e72f6d113ce767b42,hash_mismatch,flujo = flujo.cli:app,WIN metadata_only; target retained independently; absent from 14-file working-tree update subset
